geno,geno2,accenumb,accename,comp1,comp2
A239,A239,AMES23405,A239,31,42
A258,A258,NSL81596,A258,29,44
A321,A321,AMES23421,A321,29,34
A322,A322,AMES23422,A322,29,47
A334,A334,AMES23423,A334,28,36
A340,A340,AMES23424,A340,39,40
A374,A374,AMES23427,A374,31,47
A401,A401,AMES23430,A401,37,44
A427,A427,AMES23435,A427,27,49
A554,A554,PI587138,A554,35,40
A627,A627,AMES23463,A627,38,41
A632,A632,PI587140,A632,34,44
A635,A635,AMES19309,A635,32,50
A648,A648,NSL81597,A648,26,31
A659,A659,NSL81599,A659,33,32
A663,A663,PI607523,A663,26,59
A679,A679,PI587142,A679,42,43
A680,A680,AMES23503,A680,46,31
A682,A682,PI587143,A682,25,36
A71,A71,NSL42875,A71,30,32
A73,A73,AMES22439,A73,31,34
AusTRCF_306238,AUSTRCF306238,NSL437933,AusTRCF 306238,37,34
B103,B103,AMES22788,B103,41,40
B104,B104,AMES22789,B104,47,31
B105,B105,AMES22790,B105,30,22
B106,B106,PI594049,B106,28,47
B107,B107,PI597925,B107,40,25
B108,B108,PI597926,B108,26,32
B109,B109,PI597927,B109,46,38
B111,B111,PI607382,B111,49,38
B113,B113,PI607383,B113,34,33
B114,B114,PI607384,B114,48,28
B115,B115,PI615190,B115,46,35
B119,B119,PI634213,B119,61,33
B120,B120,PI634214,B120,32,30
B121,B121,PI634215,B121,24,45
B14,B14,NSL65866,B14,32,39
B14A,B14A,PI550461,B14A,40,42
B164,B164,AMES27066,B164,37,39
B2,B2,AMES26769,B2,37,37
B37,B37,PI550467,B37,46,33
B66,B66,PI550464,B66,29,30
B68,B68,PI550465,B68,41,33
B73,B73,PI550473,B73,50,73
B75,B75,PI608774,B75,32,43
B77,B77,PI608765,B77,40,41
B79,B79,PI608766,B79,33,37
B85,B85,PI608777,B85,29,47
B87,B87,PI608768,B87,34,47
B88,B88,PI550556,B88,39,41
B91,B91,PI527700,B91,38,38
B97,B97,PI564682,B97,33,24
B99,B99,PI584528,B99,34,31
C102,C102,NSL22983,C102,23,43
C103,C103,AMES19284,C103,39,29
C123,C123,AMES19313,C123,33,27
CH157,CH157,AMES22441,CH157,39,34
CH9,CH9,AMES27068,CH9,25,37
CI_40H,CI40H,AMES26128,CI 40H,33,35
CML.108,CML108,AMES27082,CML 108,24,48
CML.228,CML228,AMES27088,CML 228,32,33
CML.322,CML322,AMES27096,CML 322,21,39
CML.323,CML323,AMES27097,CML 323,39,49
CML.91,CML91,AMES27079,CML 91,27,44
CO236,CO236,AMES27046,CO236,35,38
CO256,CO256,AMES27051,CO256,51,38
CO257,CO257,AMES27052,CO257,44,43
CO258,CO258,AMES27053,CO258,42,41
CR_22_INBRED,CR22INBRED,PI267165,CR 22 INBRED,26,45
CR1HT,CR1HT,PI601080,CR1HT,26,39
CSJ3,CSJ3,AMES27057,CSJ3,33,33
DE3,DE3,PI638551,DE3,35,32
DE4,DE4,PI638552,DE4,23,39
DE811,DE811,PI550558,DE811,36,33
F2834T,F2834T,AMES27112,F2834T,33,47
FC46,FC46,PI257517,FC46,36,43
FR19,FR19,PI600772,FR19,29,43
G80,G80,PI601037,G80,48,32
H110,H110,PI550526,H110,30,38
H113,H113,AMES26803,H113,48,50
H114,H114,AMES22751,H114,50,44
H121,H121,AMES26804,H121,25,36
H49,H49,AMES15929,H49,34,36
H5,H5,AMES26772,H5,35,31
H71,H71,AMES26793,H71,34,41
H84,H84,PI587128,H84,46,26
H95,H95,AMES19319,H95,33,32
H96,H96,AMES26797,H96,37,26
H99,H99,PI587129,H99,30,25
Hi28,HI28,PI593010,Hi28,35,48
HUANYAO,HUANYAO,AMES2337,Huanyao,41,48
I205,I205,NSL65871,I 205,31,24
Il14H,IL14H,AMES27118,Il14H,35,47
INBRED_309,INBRED309,PI186227,INBRED 309,33,53
K150,K150,NSL22630,K150,53,51
K41,K41,NSL22635,K41,41,54
K55,K55,AMES22754,K55,30,37
Ki11,KI11,AMES27124,Ki11,27,39
Ki3,KI3,AMES27123,Ki3,24,40
Ky21,KY21,AMES27130,Ky21,39,28
L_289,L289,NSL65872,L 289,30,35
LH1,LH1,PI644101,LH1,41,31
LH123HT,LH123HT,PI601079,LH123HT,41,37
LH143_maintainer,LH143MAINTAINER,AMES27450,LH143 (Maintainer),38,51
LH149,LH149,PI601493,LH149,46,40
LH38,LH38,PI600791,LH38,26,39
LH39,LH39,PI600944,LH39,34,40
LH59,LH59,PI601466,LH59,22,40
LH82,LH82,PI601170,LH82,28,38
LH93,LH93,PI601171,LH93,40,44
LP5,LP5,PI601378,LP5,53,30
M14,M14,NSL30867,M14,33,32
M162W,M162W,AMES27134,M162W,38,33
M37W,M37W,AMES27133,M37W,30,27
MS106,MS106,AMES24727,MS106,27,23
MS116,MS116,AMES24729,MS116,24,34
MS132,MS132,AMES24730,MS132,34,52
MS142,MS142,AMES24733,MS142,37,35
MS211,MS211,AMES24742,MS211,31,62
MS221,MS221,AMES24746,MS221,45,41
MS222,MS222,AMES24747,MS222,46,40
MS223,MS223,AMES24748,MS223,29,32
MS224,MS224,AMES24749,MS224,27,29
MS225,MS225,AMES24750,MS225,24,20
MS226,MS226,AMES24751,MS226,24,45
MS24A,MS24A,AMES24708,MS24A,36,55
MS67,MS67,AMES24710,MS67,25,52
MS72,MS72,AMES24713,MS72,36,50
N193,N193,PI550567,N193,25,34
N197,N197,AMES22755,N197,29,21
N199,N199,PI568158,N199,36,35
N209,N209,PI595366,N209,34,54
N215,N215,PI595367,N215,29,30
N216,N216,PI596355,N216,28,50
N217,N217,PI596356,N217,44,42
N218,N218,PI596357,N218,42,44
N28Ht,N28HT,AMES27138,N28Ht,42,36
N501,N501,PI594050,N501,39,48
N527,N527,PI604606,N527,41,44
N534,N534,PI594080,N534,32,48
N538,N538,PI594084,N538,45,37
N542,N542,PI594088,N542,36,38
N545,N545,PI594091,N545,44,35
N6,N6,AMES27137,N6,35,26
N7A,N7A,PI607512,N7A,43,30
NC250,NC250,PI550555,NC250,36,40
NC264,NC264,PI520774,NC264,35,40
NC342,NC342,AMES27167,NC342,25,13
NC358,NC358,AMES27175,NC358,31,33
ND247,ND247,PI550503,ND247,34,45
ND283,ND283,NSL32738,ND283,32,41
NP87,NP87,PI542716,NP87,37,40
NY6371,NY6371,PI610494,NY6371,35,44
OC19,OC19,PI596506,OC19,21,36
OH33,OH33,NSL28965,Oh33,30,38
Oh40B,OH40B,NSL28966,Oh40B,32,33
Oh43,OH43,AMES19288,Oh43,31,50
Oh7B,OH7B,AMES19323,Oh7B,34,40
Os420,OS420,NSL65874,Os420,32,26
Os426,OS426,AMES22756,Os426,26,47
P39,P39,NSL8585,P39,30,48
Pa392,PA392,PI517968,Pa392,33,27
Pa405,PA405,AMES22757,Pa405,32,31
Pa468,PA468,PI517971,Pa468,39,40
Pa762,PA762,AMES27184,Pa762,33,37
Pa778,PA778,PI560081,Pa778,40,31
Pa891,PA891,PI531083,Pa891,37,36
PHG29,PHG29,PI601270,PHG29,34,25
PHG35,PHG35,PI601008,PHG35,30,35
PHG47,PHG47,PI601318,PHG47,33,31
PHG50,PHG50,PI601006,PHG50,33,26
PHG72,PHG72,PI601319,PHG72,31,38
PHK76,PHK76,PI601496,PHK76,30,24
PHN11,PHN11,PI601497,PHN11,30,36
PHR36,PHR36,PI601361,PHR36,14,19
PHT55,PHT55,PI601498,PHT55,31,27
PHT77,PHT77,PI601499,PHT77,26,23
PHV63,PHV63,PI601500,PHV63,33,37
PHW17,PHW17,PI601362,PHW17,50,44
R101,R101,NSL30878,R101,27,47
R113,R113,NSL30883,R113,27,41
R168,R168,AMES19326,R168,32,32
R177,R177,NSL30894,R177,32,39
R181B,R181B,NSL30896,R181B,43,27
R197,R197,NSL30902,R197,32,38
R226,R226,PI531510,R226,33,35
R229,R229,PI592734,R229,47,31
R4,R4,AMES27187,R4,33,32
R71,R71,NSL30872,R71,31,35
R78,R78,NSL30876,R78,33,30
SD101,SD101,PI533658,SD101,39,41
SD102,SD102,PI533659,SD102,30,26
SD15,SD15,NSL34374,SD15,25,34
SD40,SD40,PI606768,SD40,26,20
SD44,SD44,PI524969,SD44,35,33
SG_30A,SG30A,NSL75980,SG 30A,26,48
Sg18,SG18,NSL75979,SG 18,31,49
T146,T146,PI340829,T146,25,39
T232,T232,PI550522,T232,35,35
T242,T242,PI340830,T242,31,51
Tr,TR,AMES26022,Tr,34,43
Tx303,TX303,AMES19327,Tx303,31,41
Va102,VA102,PI587151,Va102,26,36
Va38,VA38,AMES19011,Va38,41,27
Va52,VA52,AMES19014,Va52,21,43
Va85,VA85,AMES27193,Va85,31,39
Va99,VA99,AMES24989,Va99,37,28
VaW6,VAW6,AMES19000,VaW6,30,24
W153R,W153R,NSL30059,W153R,28,37
W22,W22,NSL30053,W22,27,48
W23,W23,NSL30060,W23,30,36
W24,W24,NSL30064,W24,22,25
W32,W32,NSL30071,W32,28,30
W552,W552,PI520770,W552,22,38
W64A,W64A,NSL30058,W64A,32,36
W9,W9,NSL30065,W9,33,32
WR3,WR3,NSL30066,WR3,33,48
YE_4,YE4,AMES2335,Ye 4,40,40
Yu796_NS,YU796NS,AMES27196,Yu796_NS,22,38
